행정구역1,행정구역2,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
경상북도,성주군,"42,698","1,819","2,182","3,193","3,130","4,487","8,040","9,815","5,926","3,579",516,11
경상북도,칠곡군,"113,258","8,679","11,337","11,547","13,659","20,430","19,873","14,792","7,647","4,617",663,14
경상북도,예천군,"55,618","4,450","4,455","4,019","5,253","7,197","7,870","9,783","6,741","5,110",716,24
경상북도,봉화군,"30,572","1,225","1,799","1,816","1,735","2,990","5,475","7,072","4,643","3,291",505,21
경상북도,울진군,"47,735","2,723","3,556","4,243","4,066","5,960","8,291","8,787","5,527","3,878",691,13
경상북도,울릉군,"8,775",377,453,807,773,"1,200","1,764","1,799","1,038",488,74,2
경상남도,창원시,"1,027,914","78,934","98,094","125,127","129,317","165,159","183,529","150,444","65,598","27,946","3,703",63
경상남도,창원시,"217,109","17,094","19,322","27,808","28,133","33,654","40,912","31,887","12,231","5,312",738,18
경상남도,창원시,"250,763","18,288","25,677","36,694","34,276","40,204","50,833","31,512","9,001","3,687",583,8
경상남도,창원시,"180,021","13,188","14,264","18,806","21,196","26,548","29,126","31,398","16,932","7,497","1,050",16
경상남도,창원시,"185,800","12,170","17,579","21,030","20,118","29,077","33,371","30,770","15,251","5,806",617,11
경상남도,창원시,"194,221","18,194","21,252","20,789","25,594","35,676","29,287","24,877","12,183","5,644",715,10
경상남도,진주시,"346,154","26,786","34,666","44,468","40,619","53,045","57,042","48,659","25,784","13,186","1,848",51
경상남도,통영시,"124,822","8,545","12,660","10,455","12,252","20,676","21,848","21,348","11,300","5,059",667,12
경상남도,사천시,"109,475","7,633","10,109","10,270","11,089","17,269","18,205","17,203","10,737","6,051",888,21
경상남도,김해시,"535,877","45,847","60,050","66,465","65,990","95,628","98,220","62,920","27,052","12,177","1,500",28
경상남도,밀양시,"102,988","5,232","7,459","8,595","8,325","12,498","18,063","21,880","12,808","7,184",925,19
경상남도,거제시,"240,314","24,132","27,931","22,736","32,660","46,980","39,819","28,672","11,334","5,200",829,21
